time,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
1,540.0,5.0,0.0,inf,0.0,584.23,-267.0,272.0,-155988.6
2,540.0,5.0,0.0,inf,500.0,584.23,-361.4,866.4,-211139.63
3,540.0,5.0,0.0,inf,500.0,584.23,-855.13,1360.13,-499591.96
4,576.0,5.0,0.0,inf,500.0,584.23,-91.27,596.27,-53320.45
5,576.0,5.0,0.0,inf,500.0,584.23,-770.87,1275.87,-450361.1
6,396.0,5.0,191.2,inf,500.0,584.23,5.0,308.8,2921.13
7,396.0,5.0,0.0,inf,500.0,584.23,-203.53,708.53,-118909.66
8,144.0,5.0,250.13,inf,500.0,584.23,5.0,249.87,2921.13
9,144.0,5.0,0.0,inf,500.0,584.23,-810.07,1315.07,-473262.8
10,144.0,5.0,0.0,inf,500.0,584.23,-175.8,680.8,-102707.1
11,0.0,5.0,148.67,inf,500.0,584.23,183.53,172.8,107225.12
12,0.0,5.0,0.0,inf,500.0,584.23,-655.67,1160.67,-383058.15
13,0.0,5.0,0.0,inf,500.0,584.23,-67.67,572.67,-39532.69
14,36.0,5.0,0.0,inf,500.0,584.23,-175.8,680.8,-102707.1
15,36.0,5.0,0.0,inf,500.0,584.23,-196.73,701.73,-114936.92
16,0.0,5.0,25.0,inf,500.0,574.7,87.87,392.13,50497.11
17,0.0,5.0,0.0,inf,500.0,574.7,-75.4,580.4,-43332.5
18,0.0,5.0,10.0,inf,500.0,574.7,112.73,382.27,64788.02
19,0.0,5.0,5.0,inf,500.0,574.7,281.2,218.8,161606.07
20,0.0,5.0,0.0,inf,500.0,574.7,-323.67,828.67,-186011.73
21,0.0,5.0,0.0,inf,500.0,574.7,-144.6,649.6,-83101.84
22,36.0,5.0,0.0,inf,500.0,574.7,-507.27,1012.27,-291526.93
23,0.0,5.0,20.0,inf,500.0,574.7,98.6,386.4,56665.57
24,0.0,5.0,0.0,inf,500.0,574.7,-305.53,810.53,-175590.47
25,0.0,5.0,0.0,inf,500.0,574.7,-733.53,1238.53,-421562.73
26,36.0,5.0,0.0,inf,500.0,574.7,-9.53,514.53,-5478.82
27,0.0,5.0,20.0,inf,500.0,574.7,87.13,397.87,50075.66
28,0.0,5.0,5.0,inf,500.0,574.7,302.8,197.2,174019.62
29,0.0,5.0,0.0,inf,500.0,574.7,-207.67,712.67,-119346.35
30,0.0,5.0,10.0,inf,500.0,574.7,168.73,326.27,96971.31
31,0.0,5.0,0.0,inf,500.0,545.67,-889.53,1394.53,-485393.1
32,0.0,5.0,0.0,inf,500.0,545.67,-294.2,799.2,-160536.59
33,0.0,5.0,15.0,inf,500.0,545.67,202.53,287.47,110516.69
34,0.0,5.0,0.0,inf,500.0,545.67,-263.4,768.4,-143729.91
35,0.0,5.0,10.0,inf,500.0,545.67,158.73,336.27,86616.28
36,0.0,5.0,0.0,inf,500.0,545.67,-328.33,833.33,-179162.18
37,0.0,5.0,10.0,inf,500.0,545.67,314.87,180.13,171813.8
38,0.0,5.0,5.0,inf,500.0,545.67,100.53,399.47,54858.19
39,0.0,5.0,5.0,inf,500.0,545.67,129.87,370.13,70864.55
40,0.0,5.0,5.0,inf,500.0,545.67,11.6,488.4,6329.79
41,0.0,5.0,0.0,inf,500.0,545.67,-35.27,540.27,-19244.02
42,0.0,5.0,0.0,inf,500.0,545.67,-13.4,518.4,-7312.0
43,36.0,5.0,0.0,inf,500.0,545.67,-178.33,683.33,-97311.44
44,36.0,5.0,0.0,inf,500.0,545.67,-249.13,754.13,-135944.99
45,36.0,5.0,0.0,inf,500.0,545.67,-179.53,684.53,-97966.25
46,36.0,5.0,0.0,inf,500.0,574.7,-322.07,827.07,-185092.21
47,36.0,5.0,0.0,inf,500.0,574.7,-789.13,1294.13,-453516.14
48,36.0,5.0,0.0,inf,500.0,574.7,-169.27,674.27,-97277.81
49,36.0,5.0,0.0,inf,500.0,574.7,-427.93,932.93,-245933.94
50,72.0,5.0,0.0,inf,500.0,574.7,-175.8,680.8,-101032.53
51,0.0,5.0,55.0,inf,500.0,574.7,280.67,169.33,161299.56
52,0.0,5.0,0.0,inf,250.0,574.7,-55.53,310.53,-31915.09
